sid,family,story,cond,p_page,n_calls
INT-12,INTRUSION,quiet-persistence,D,0.9000,10
INT-13,INTRUSION,proxy-to-cluster,D,0.9000,10
INT-14,INTRUSION,api-first,D,0.9000,10
INT-15,INTRUSION,supply-chain-entry,D,0.8000,10
INT-16,INTRUSION,capability-escalate,D,1.0000,10
INT-17,INTRUSION,credential-sprawl,D,0.5000,10
INT-18,INTRUSION,quiet-persistence,D,0.8000,10
INT-19,INTRUSION,proxy-to-cluster,D,0.5000,10
INT-20,INTRUSION,api-first,D,0.1000,10
INT-21,INTRUSION,supply-chain-entry,D,0.7000,10
INT-22,INTRUSION,capability-escalate,D,0.9000,10
INT-23,INTRUSION,credential-sprawl,D,0.0000,10
INT-24,INTRUSION,quiet-persistence,D,0.8000,10
INT-25,INTRUSION,proxy-to-cluster,D,1.0000,10
INT-26,INTRUSION,api-first,D,1.0000,10
INT-27,INTRUSION,supply-chain-entry,D,0.7000,10
INT-28,INTRUSION,capability-escalate,D,0.4000,10
INT-29,INTRUSION,credential-sprawl,D,0.8000,10
INT-30,INTRUSION,quiet-persistence,D,1.0000,10
NUL-01,NULL,noise,E,0.0000,10
NUL-02,NULL,noise,E,0.0000,10
NUL-03,NULL,noise,E,0.0000,10
NUL-04,NULL,noise,E,0.0000,10
NUL-05,NULL,noise,E,0.0000,10
NUL-06,NULL,noise,E,0.0000,10
NUL-07,NULL,noise,E,0.0000,10
NUL-08,NULL,noise,E,0.0000,10
NUL-09,NULL,noise,E,0.0000,10
NUL-10,NULL,noise,E,0.8000,10
NUL-11,NULL,noise,E,0.0000,10
NUL-12,NULL,noise,E,0.0000,10
NUL-13,NULL,noise,E,0.0000,10
NUL-14,NULL,noise,E,0.0000,10
NUL-15,NULL,noise,E,0.0000,10
NUL-16,NULL,noise,E,0.0000,10
NUL-17,NULL,noise,E,0.0000,10
NUL-18,NULL,noise,E,0.0000,10
NUL-19,NULL,noise,E,0.0000,10
NUL-20,NULL,noise,E,0.0000,10
NUL-21,NULL,noise,E,0.0000,10
NUL-22,NULL,noise,E,0.0000,10
NUL-23,NULL,noise,E,0.0000,10
NUL-24,NULL,noise,E,0.0000,10
NUL-25,NULL,noise,E,0.0000,10
NUL-26,NULL,noise,E,0.0000,10
NUL-27,NULL,noise,E,0.0000,10
NUL-28,NULL,noise,E,0.0000,10
NUL-29,NULL,noise,E,0.0000,10
NUL-30,NULL,noise,E,0.0000,10
INT-01,INTRUSION,proxy-to-cluster,F,1.0000,10
INT-02,INTRUSION,api-first,F,1.0000,10
INT-03,INTRUSION,supply-chain-entry,F,1.0000,10
INT-04,INTRUSION,capability-escalate,F,1.0000,10
INT-05,INTRUSION,credential-sprawl,F,1.0000,10
INT-06,INTRUSION,quiet-persistence,F,0.9000,10
INT-07,INTRUSION,proxy-to-cluster,F,1.0000,10
INT-08,INTRUSION,api-first,F,1.0000,10
INT-09,INTRUSION,supply-chain-entry,F,1.0000,10
INT-10,INTRUSION,capability-escalate,F,1.0000,10
INT-11,INTRUSION,credential-sprawl,F,1.0000,10
INT-12,INTRUSION,quiet-persistence,F,1.0000,10
INT-13,INTRUSION,proxy-to-cluster,F,1.0000,10
INT-14,INTRUSION,api-first,F,1.0000,10
INT-15,INTRUSION,supply-chain-entry,F,1.0000,10
INT-16,INTRUSION,capability-escalate,F,1.0000,10
INT-17,INTRUSION,credential-sprawl,F,0.9000,10
INT-18,INTRUSION,quiet-persistence,F,1.0000,10
INT-19,INTRUSION,proxy-to-cluster,F,1.0000,10
INT-20,INTRUSION,api-first,F,1.0000,10
INT-21,INTRUSION,supply-chain-entry,F,1.0000,10
INT-22,INTRUSION,capability-escalate,F,0.9000,10
INT-23,INTRUSION,credential-sprawl,F,1.0000,10
INT-24,INTRUSION,quiet-persistence,F,1.0000,10
INT-25,INTRUSION,proxy-to-cluster,F,1.0000,10
INT-26,INTRUSION,api-first,F,1.0000,10
INT-27,INTRUSION,supply-chain-entry,F,1.0000,10
INT-28,INTRUSION,capability-escalate,F,1.0000,10
INT-29,INTRUSION,credential-sprawl,F,1.0000,10
INT-30,INTRUSION,quiet-persistence,F,1.0000,10
