sid,family,story,condition,escalate_rate,page_rate,mean_criticality,n_calls
INT-06,INTRUSION,quiet-persistence,F,1.000,1.000,4.00,10
INT-07,INTRUSION,proxy-to-cluster,A,0.000,0.000,1.14,21
INT-07,INTRUSION,proxy-to-cluster,B,0.000,0.000,1.00,10
INT-07,INTRUSION,proxy-to-cluster,D,0.000,0.000,1.00,10
INT-07,INTRUSION,proxy-to-cluster,F,0.000,0.000,1.00,10
INT-08,INTRUSION,api-first,A,0.000,0.000,1.00,18
INT-08,INTRUSION,api-first,B,0.000,0.000,2.00,10
INT-08,INTRUSION,api-first,D,0.000,0.000,1.00,10
INT-08,INTRUSION,api-first,F,1.000,0.000,3.00,10
INT-09,INTRUSION,supply-chain-entry,A,0.000,0.000,1.00,21
INT-09,INTRUSION,supply-chain-entry,B,0.100,0.000,1.10,10
INT-09,INTRUSION,supply-chain-entry,D,0.000,0.000,1.00,10
INT-09,INTRUSION,supply-chain-entry,F,1.000,0.000,3.00,10
INT-10,INTRUSION,capability-escalate,A,0.286,0.000,1.62,21
INT-10,INTRUSION,capability-escalate,B,1.000,0.000,3.00,10
INT-10,INTRUSION,capability-escalate,D,0.000,0.000,1.00,10
INT-10,INTRUSION,capability-escalate,F,1.000,0.000,3.00,10
INT-11,INTRUSION,credential-sprawl,A,0.000,0.000,1.10,21
INT-11,INTRUSION,credential-sprawl,B,0.000,0.000,2.00,10
INT-11,INTRUSION,credential-sprawl,D,0.000,0.000,1.00,10
INT-11,INTRUSION,credential-sprawl,F,0.000,0.000,2.00,10
INT-12,INTRUSION,quiet-persistence,A,0.000,0.000,1.19,21
INT-12,INTRUSION,quiet-persistence,B,1.000,1.000,4.00,10
INT-12,INTRUSION,quiet-persistence,D,1.000,0.400,3.40,10
INT-12,INTRUSION,quiet-persistence,F,1.000,0.000,3.00,10
INT-13,INTRUSION,proxy-to-cluster,A,0.000,0.000,1.17,18
INT-13,INTRUSION,proxy-to-cluster,B,0.000,0.000,1.00,10
INT-13,INTRUSION,proxy-to-cluster,D,0.000,0.000,1.00,10
INT-13,INTRUSION,proxy-to-cluster,F,0.000,0.000,1.00,10
INT-14,INTRUSION,api-first,A,0.000,0.000,1.00,18
INT-14,INTRUSION,api-first,B,1.000,0.000,3.00,10
INT-14,INTRUSION,api-first,D,0.000,0.000,1.00,10
INT-14,INTRUSION,api-first,F,1.000,0.000,3.00,10
INT-15,INTRUSION,supply-chain-entry,A,0.000,0.000,1.00,18
INT-15,INTRUSION,supply-chain-entry,B,0.500,0.000,1.50,10
INT-15,INTRUSION,supply-chain-entry,D,0.000,0.000,1.00,10
INT-15,INTRUSION,supply-chain-entry,F,1.000,0.000,3.00,10
INT-16,INTRUSION,capability-escalate,A,0.143,0.000,1.29,21
INT-16,INTRUSION,capability-escalate,B,1.000,0.000,3.00,10
INT-16,INTRUSION,capability-escalate,D,1.000,0.000,3.00,10
INT-16,INTRUSION,capability-escalate,F,1.000,0.000,3.00,10
INT-17,INTRUSION,credential-sprawl,A,0.000,0.000,1.10,21
INT-17,INTRUSION,credential-sprawl,B,1.000,0.000,3.00,10
INT-17,INTRUSION,credential-sprawl,D,0.000,0.000,1.00,10
INT-17,INTRUSION,credential-sprawl,F,0.000,0.000,1.70,10
INT-18,INTRUSION,quiet-persistence,A,0.000,0.000,1.00,21
INT-18,INTRUSION,quiet-persistence,B,1.000,0.800,3.80,10
INT-18,INTRUSION,quiet-persistence,D,1.000,0.000,3.00,10
INT-18,INTRUSION,quiet-persistence,F,1.000,1.000,4.00,10
INT-19,INTRUSION,proxy-to-cluster,A,0.000,0.000,1.17,18
INT-19,INTRUSION,proxy-to-cluster,B,0.000,0.000,1.00,10
INT-19,INTRUSION,proxy-to-cluster,D,0.000,0.000,1.00,10
INT-19,INTRUSION,proxy-to-cluster,F,0.000,0.000,1.00,10
INT-20,INTRUSION,api-first,A,0.000,0.000,1.00,21
INT-20,INTRUSION,api-first,B,0.200,0.000,2.10,10
INT-20,INTRUSION,api-first,D,0.000,0.000,1.00,10
INT-20,INTRUSION,api-first,F,1.000,0.000,3.00,10
INT-21,INTRUSION,supply-chain-entry,A,0.000,0.000,1.00,21
INT-21,INTRUSION,supply-chain-entry,B,1.000,0.000,3.00,10
INT-21,INTRUSION,supply-chain-entry,D,0.000,0.000,1.00,10
INT-21,INTRUSION,supply-chain-entry,F,1.000,0.200,3.20,10
INT-22,INTRUSION,capability-escalate,A,0.190,0.000,1.48,21
INT-22,INTRUSION,capability-escalate,B,1.000,0.000,3.00,10
INT-22,INTRUSION,capability-escalate,D,0.000,0.000,1.00,10
INT-22,INTRUSION,capability-escalate,F,1.000,0.000,3.00,10
INT-23,INTRUSION,credential-sprawl,A,0.000,0.000,1.00,21
INT-23,INTRUSION,credential-sprawl,B,0.000,0.000,1.00,10
INT-23,INTRUSION,credential-sprawl,D,0.000,0.000,1.00,10
INT-23,INTRUSION,credential-sprawl,F,0.500,0.000,2.50,10
INT-24,INTRUSION,quiet-persistence,A,0.000,0.000,1.28,18
INT-24,INTRUSION,quiet-persistence,B,1.000,0.000,3.00,10
INT-24,INTRUSION,quiet-persistence,D,0.000,0.000,1.00,10
INT-24,INTRUSION,quiet-persistence,F,1.000,0.000,3.00,10
INT-25,INTRUSION,proxy-to-cluster,A,0.000,0.000,1.14,21
INT-25,INTRUSION,proxy-to-cluster,B,0.000,0.000,1.00,10
INT-25,INTRUSION,proxy-to-cluster,D,0.000,0.000,1.00,10
INT-25,INTRUSION,proxy-to-cluster,F,0.000,0.000,1.00,10
INT-26,INTRUSION,api-first,A,0.000,0.000,1.00,21
INT-26,INTRUSION,api-first,B,0.900,0.000,2.90,10
INT-26,INTRUSION,api-first,D,0.000,0.000,1.00,10
INT-26,INTRUSION,api-first,F,1.000,0.400,3.40,10
INT-27,INTRUSION,supply-chain-entry,A,0.000,0.000,1.10,21
INT-27,INTRUSION,supply-chain-entry,B,1.000,0.000,3.00,10
INT-27,INTRUSION,supply-chain-entry,D,0.000,0.000,1.00,10
INT-27,INTRUSION,supply-chain-entry,F,0.000,0.000,2.00,10
INT-28,INTRUSION,capability-escalate,A,0.238,0.000,1.52,21
INT-28,INTRUSION,capability-escalate,B,1.000,0.000,3.00,10
INT-28,INTRUSION,capability-escalate,D,0.000,0.000,1.00,10
INT-28,INTRUSION,capability-escalate,F,1.000,0.000,3.00,10
INT-29,INTRUSION,credential-sprawl,A,0.000,0.000,1.05,21
INT-29,INTRUSION,credential-sprawl,B,1.000,0.000,3.00,10
INT-29,INTRUSION,credential-sprawl,D,0.000,0.000,1.00,10
INT-29,INTRUSION,credential-sprawl,F,0.000,0.000,2.00,10
INT-30,INTRUSION,quiet-persistence,A,0.000,0.000,1.00,18
INT-30,INTRUSION,quiet-persistence,B,1.000,0.000,3.00,10
INT-30,INTRUSION,quiet-persistence,D,0.000,0.000,1.00,10
INT-30,INTRUSION,quiet-persistence,F,1.000,1.000,4.00,10
NUL-01,NULL,noise,E,0.000,0.000,1.00,10
NUL-02,NULL,noise,E,0.000,0.000,1.00,10
NUL-03,NULL,noise,E,0.000,0.000,1.00,10
NUL-04,NULL,noise,E,0.000,0.000,1.00,10
NUL-05,NULL,noise,E,0.000,0.000,1.00,10
NUL-06,NULL,noise,E,0.000,0.000,1.00,10
NUL-07,NULL,noise,E,0.000,0.000,1.00,10
NUL-08,NULL,noise,E,0.000,0.000,1.00,10
NUL-09,NULL,noise,E,0.000,0.000,1.00,10
NUL-10,NULL,noise,E,0.000,0.000,1.00,10
NUL-11,NULL,noise,E,0.000,0.000,1.00,10
NUL-12,NULL,noise,E,0.000,0.000,1.00,10
NUL-13,NULL,noise,E,0.000,0.000,1.00,10
NUL-14,NULL,noise,E,0.000,0.000,1.00,10
NUL-15,NULL,noise,E,0.000,0.000,1.00,10
NUL-16,NULL,noise,E,0.000,0.000,1.00,10
NUL-17,NULL,noise,E,0.000,0.000,1.00,10
NUL-18,NULL,noise,E,0.000,0.000,1.00,10
NUL-19,NULL,noise,E,0.000,0.000,1.00,10
NUL-20,NULL,noise,E,0.000,0.000,1.00,10
NUL-21,NULL,noise,E,0.000,0.000,1.00,10
NUL-22,NULL,noise,E,0.000,0.000,1.00,10
NUL-23,NULL,noise,E,0.000,0.000,1.00,10
NUL-24,NULL,noise,E,0.000,0.000,1.00,10
NUL-25,NULL,noise,E,0.000,0.000,1.00,10
NUL-26,NULL,noise,E,0.000,0.000,1.00,10
NUL-27,NULL,noise,E,0.000,0.000,1.00,10
NUL-28,NULL,noise,E,0.000,0.000,1.00,10
NUL-29,NULL,noise,E,0.000,0.000,1.00,10
NUL-30,NULL,noise,E,0.000,0.000,1.00,10
